xwindowsize,ywindowsize,label1x,label1y,label2x,label2y,label3x,label3y,label4x,label4y,label5x,label5y,label6x,label6y,label7x,label7y,label8x,label8y,label9x,label9y,label10x,label10y,label11x,label11y,label12x,label12y,label13x,label13y,label14x,label14y,label15x,label15y,label16x,label16y,label17x,label17y,label18x,label18y,label19x,label19y,label20x,label20y
1920,942,226,721,588,153,1420,406,733,783,451,169,276,680,643,132,243,539,767,747,1454,376,308,640,673,99,569,271,868,663,711,226,556,308,793,723,727,67,395,135,315,579
1536,727,779,225,691,517,987,433,679,183,599,327,712,254,691,466,829,325,661,282,971,396,681,224,760,496,620,568,687,139,811,133,583,533,760,110,796,530,594,364,779,291
1920,942,948,664,1558,711,1554,92,827,424,364,188,858,174,505,560,1002,777,967,125,1737,136,1014,525,1760,776,192,880,1039,417,349,678,87,806,930,310,1666,822,178,156,859,867
360,641,252.5,400,111.5,400,252.5,276,252.5,214,252.5,369,252.5,431,111.5,369,252.5,462,111.5,431,111.5,338,111.5,307,252.5,307,252.5,183,111.5,245,111.5,276,111.5,183,111.5,214,252.5,245,111.5,462,252.5,338
1440,666,201,182,307,502,1180,173,256,124,363,422,717,111,364,378,786,324,637,104,1177,138,795,288,259,410,1173,458,365,176,1169,399,1171,430,672,138,324,462,193,480,788,356
1440,810,391,529,739,378,1138,96,662,524,339,247,329,418,447,270,425,553,758,715,1098,121,254,446,655,359,1039,514,698,610,903,475,1045,477,809,690,727,332,414,300,331,467
1280,582,736,167,190,288,1134,243,549,331,235,406,627,264,209,314,1189,95,475,425,1097,269,688,205,883,414,72,157,361,563,122,197,72,135,499,449,905,389,259,434,860,285
1280,589,1060,218,213,333,830,386,356,203,214,299,570,322,808,85,1061,190,356,122,822,358,563,285,1108,430,576,68,357,179,574,127,573,98,361,150,1109,393,804,115,1065,159
1136,674,735,112,563,607,1064,394,213,451,732,634,212,199,483,660,522,45,329,564,1064,354,258,302,830,428,1064,208,134,660,1064,129,1064,171,390,521,635,448,800,660,390,218
1440,762,496,704,1043,234,183,167,183,719,1181,386,298,611,933,130,551,315,166,644,242,135,382,570,604,27,1355,57,73,684,1355,201,1316,81,72,748,718,50,1311,603,454,475
1280,582,291,239,995,90,222,414,768,211,1008,115,678,250,928,375,312,260,791,182,239,450,579,255,77,107,1148,263,831,121,1012,151,1145,240,811,153,91,152,820,428,342,204
